Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
339,Achatina ustulata,Achatina ustulata,77653,77670,11.71,2,NO_ANNOT,,,Exact,0,"Achatina ustulata Lamarck, 1822",Achatina ustulata,64GZZ,1,Catalogue of Life,
340,Bulimus ustulatus,Bulimus ustulatus,77752,77769,12.63,2,NO_ANNOT,,,Exact,0,"Bulimus ustulatus Jay, 1839",Bulimus ustulatus,7QGXL,1,Catalogue of Life,
341,Galapagos,Galapagos,77782,77791,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
342,Pelecostoma,Pelecostoma,77903,77914,5.40,1,NO_ANNOT,,,Exact,0,"Pelecostoma Reibisch, 1893",Pelecostoma,urn:lsid:irmng.org:taxname:1412896,181,IRMNG,
343,Galapagos,Galapagos,78155,78164,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
344,Leptinaria chathamensis,Leptinaria chathamensis,78319,78342,12.84,2,NO_ANNOT,,,Exact,0,"Leptinaria chathamensis Dall, 1892",Leptinaria chathamensis,3TJPJ,1,Catalogue of Life,
345,Pelecostoma,Pelecostoma,78401,78412,5.40,1,NO_ANNOT,,,Exact,0,"Pelecostoma Reibisch, 1893",Pelecostoma,urn:lsid:irmng.org:taxname:1412896,181,IRMNG,
346,Thaumastus,Thaumastus,78569,78579,5.62,1,NO_ANNOT,,,Exact,0,"Thaumastus E. von Martens, 1860",Thaumastus,7PJBY,1,Catalogue of Life,
347,Scutalus,Scutalus,78580,78588,5.75,1,NO_ANNOT,,,Exact,0,"Scutalus Albers, 1850",Scutalus,7PGGD,1,Catalogue of Life,
348,Bulimulus,Bulimulus,78619,78628,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
349,Bulimuli,Bulimuli,79280,79288,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
350,Galapagos,Galapagos,79426,79435,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
351,Bulimulus,Bulimulus,79611,79620,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
352,Bulimulus,Bulimulus,79640,79649,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
353,Orthotomium,Orthotomium,79782,79793,5.57,1,NO_ANNOT,,,Exact,0,"Orthotomium Crosse & Fischer, 1875",Orthotomium,urn:lsid:irmng.org:taxname:1388104,181,IRMNG,
354,Bostryx,Bostryx,79880,79887,4.68,1,NO_ANNOT,,,Exact,0,"Bostryx Troschel, 1847",Bostryx,7NTM2,1,Catalogue of Life,
355,Orthotomium,Orthotomium,80058,80069,5.57,1,NO_ANNOT,,,Exact,0,"Orthotomium Crosse & Fischer, 1875",Orthotomium,urn:lsid:irmng.org:taxname:1388104,181,IRMNG,
356,Bulimulus,Bulimulus,80086,80095,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
357,Orthotomium.,Orthotomium,80559,80571,5.57,1,NO_ANNOT,,,Exact,0,"Orthotomium Crosse & Fischer, 1875",Orthotomium,urn:lsid:irmng.org:taxname:1388104,181,IRMNG,
358,Bulimulus,Bulimulus,80896,80905,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
359,Bulimulus,Bulimulus,81233,81242,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
360,Naesiotus achatellinus,Naesiotus achatellinus,81243,81265,13.01,2,NO_ANNOT,,,Exact,0,"Naesiotus achatellinus (Forbes, 1850)",Naesiotus achatellinus,7S92P,1,Catalogue of Life,
361,Btdimidiis achatellinus,Btdimidiis achatellinus,81296,81319,5.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
362,Bulimus,Bulimus,81462,81469,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
363,Bulimus,Bulimus,81523,81530,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
364,Bulimulus,Bulimulus,81602,81611,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
365,Buliminus,Buliminus,81730,81739,5.76,1,NO_ANNOT,,,Exact,0,"Buliminus H. Beck, 1837",Buliminus,87FF5,1,Catalogue of Life,
366,Rhaphiellus nchatinellinus,Rhaphiellus nchatinellinus,81933,81959,8.84,2,NO_ANNOT,,,PartialExact,0,"Rhaphiellus Pfeiffer, 1855",Rhaphiellus,urn:lsid:irmng.org:taxname:1357169,181,IRMNG,
367,Habel fide,Habel fide,82101,82111,,2,NO_ANNOT,,,NoMatch,,,,,,,,
368,Achatinella,Achatinella,83878,83889,6.49,1,NO_ANNOT,,,Exact,0,"Achatinella Swainson, 1828",Achatinella,7NMQT,1,Catalogue of Life,
369,Achatina,Achatina,84044,84052,3.96,1,NO_ANNOT,,,Exact,0,"Achatina Lamarck, 1799",Achatina,7NMQS,1,Catalogue of Life,
370,Bulimulus,Bulimulus,84189,84198,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
371,Bulinus,Bulinus,84264,84271,5.34,1,NO_ANNOT,,,Exact,0,"Bulinus O. F. Müller, 1781",Bulinus,7NRBK,1,Catalogue of Life,
372,Bulimus,Bulimus,84582,84589,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
373,Bulimulus,Bulimulus,84643,84652,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
374,Omphalostyla nux,Omphalostyla nux,84653,84669,3.79,2,NO_ANNOT,,,PartialExact,0,"Omphalostyla Adams, 1855",Omphalostyla,urn:lsid:irmng.org:taxname:1154622,181,IRMNG,
375,Bulimulus,Bulimulus,84715,84724,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
376,Nesiotes nux,Nesiotes nux,84725,84737,1.44,2,NO_ANNOT,,,PartialExact,0,Nesiotes,Nesiotes,63F8S,1,Catalogue of Life,
377,Bulimulus,Bulimulus,84776,84785,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
378,Bulimus nuciformis,Bulimus nuciformis,84834,84852,11.81,2,NO_ANNOT,,,Exact,0,"Bulimus nuciformis Petit De La Saussaye, 1853",Bulimus nuciformis,7QGN2,1,Catalogue of Life,
379,Bulimus,Bulimus,84944,84951,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
380,Nasiotus nuciformis,Nasiotus nuciformis,84952,84971,5.88,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus nuciformis (Petit De La Saussaye, 1853)",Naesiotus nuciformis,7S93V,1,Catalogue of Life,
381,Bulimulus,Bulimulus,85012,85021,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
382,Nesiotes nuciformis,Nesiotes nuciformis,85022,85041,10.11,2,NO_ANNOT,,,PartialExact,0,Nesiotes,Nesiotes,63F8S,1,Catalogue of Life,
383,Bulimulus,Bulimulus,85079,85088,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
384,Nasiotus nuciformis,Nasiotus nuciformis,85089,85108,5.88,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus nuciformis (Petit De La Saussaye, 1853)",Naesiotus nuciformis,7S93V,1,Catalogue of Life,
385,Bulimus incrassatus,Bulimus incrassatus,85142,85161,13.05,2,NO_ANNOT,,,Exact,0,"Bulimus incrassatus L. Pfeiffer, 1854",Bulimus incrassatus,urn:lsid:marinespecies.org:taxname:1394410,9,WoRMS,
386,Bulimus,Bulimus,85227,85234,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
387,Omphalostyla incrassatus,Omphalostyla incrassatus,85308,85332,13.70,2,NO_ANNOT,,,PartialExact,0,"Omphalostyla Adams, 1855",Omphalostyla,urn:lsid:irmng.org:taxname:1154622,181,IRMNG,
388,Bulimulus unifasciatus,Bulimulus unifasciatus,85376,85398,13.96,2,NO_ANNOT,,,Exact,0,"Bulimulus unifasciatus (Sowerby, 1833)",Bulimulus unifasciatus,3308,163,IUCN Red List of Threatened Species,
389,Bulimulus,Bulimulus,85456,85465,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
390,Bulimulus,Bulimulus,85505,85514,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
391,Nasiotus incrassatus,Nasiotus incrassatus,85515,85535,7.11,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus incrassatus Pfeiffer, 1853",Naesiotus incrassatus,142314458,164,BioLib.cz,
392,Bulimulus,Bulimulus,85668,85677,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
393,Bulimus verrucosus,Bulimus verrucosus,85780,85798,12.12,2,NO_ANNOT,,,Exact,0,"Bulimus verrucosus L. Pfeiffer, 1855",Bulimus verrucosus,7QGXV,1,Catalogue of Life,
394,Bulimus,Bulimus,85867,85874,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
395,Acpsiotus verucosus,Acpsiotus verucosus,85875,85894,6.24,2,NO_ANNOT,,,NoMatch,,,,,,,,
396,Bulimulus,Bulimulus,85935,85944,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
397,Bulimulus asperatus,Bulimulus asperatus,86019,86038,13.64,2,NO_ANNOT,,,Exact,0,Bulimulus (Nesiotes) asperatus (Albers ),Bulimulus asperatus,4155229,168,ION,
398,Bulimus asperatus,Bulimus asperatus,86119,86136,12.63,2,NO_ANNOT,,,Exact,0,"Bulimus asperatus Albers, 1857",Bulimus asperatus,7QFYR,1,Catalogue of Life,
399,Bulimulus,Bulimulus,86262,86271,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
400,Nesiotes asperatus,Nesiotes asperatus,86272,86290,10.93,2,NO_ANNOT,,,Exact,0,"Nesiotes asperatus Wollaston, T.V., 1869",Nesiotes asperatus,73WSY,1,Catalogue of Life,
401,NcEsiotus asperatus,Ncesiotus asperatus,86349,86368,6.86,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus asperatus (Albers, 1857)",Naesiotus asperatus,gn_138832,186,MCZbase,
402,Bulimulus invalidus,Bulimulus invalidus,86458,86477,12.67,2,NO_ANNOT,,,Exact,0,Bulimulus (Naesiotus) invalidus,Bulimulus invalidus,3922828,168,ION,
403,Bulimulus,Bulimulus,89425,89434,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
404,Nsesiotus rugulosus,Nsesiotus rugulosus,89435,89454,6.24,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus rugulosus (G. B. Sowerby I, 1838)",Naesiotus rugulosus,7S94F,1,Catalogue of Life,
405,Bulinus rtigulostis,Bulinus rtigulostis,89485,89504,7.49,2,NO_ANNOT,,,PartialExact,0,"Bulinus O. F. Müller, 1781",Bulinus,7NRBK,1,Catalogue of Life,
406,Bulimus rugulosus,Bulimus rugulosus,89549,89566,12.01,2,NO_ANNOT,,,Fuzzy,1,"Bulinus rugulosus G. B. Sowerby I, 1838",Bulinus rugulosus,7QH48,1,Catalogue of Life,
407,Bulimus eschatiferus,Bulimus eschatiferus,89603,89623,7.17,2,NO_ANNOT,,,PartialExact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
408,Omphalostyla rugulosus,Omphalostyla rugulosus,89711,89733,12.65,2,NO_ANNOT,,,PartialExact,0,"Omphalostyla Adams, 1855",Omphalostyla,urn:lsid:irmng.org:taxname:1154622,181,IRMNG,
409,B. rugulosus,B. rugulosus,89955,89967,6.77,2,NO_ANNOT,,,NoMatch,,,,,,,,
410,Bulimulus,Bulimulus,90011,90020,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
411,Aasio'lus midus,Aasio�lus midus,90021,90036,5.49,2,NO_ANNOT,,,NoMatch,,,,,,,,
412,B. rugulosus,B. rugulosus,90079,90091,6.77,2,NO_ANNOT,,,NoMatch,,,,,,,,
413,Bulimulus,Bulimulus,90677,90686,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
414,Naesiotus planospira,Naesiotus planospira,90687,90707,11.15,2,NO_ANNOT,,,Exact,0,"Naesiotus planospira (Ancey, 1887)",Naesiotus planospira,gn_159114,186,MCZbase,
415,Bulimus eschariferus,Bulimus eschariferus,90734,90754,12.20,2,NO_ANNOT,,,Fuzzy,1,"Bulinus eschariferus G. B. Sowerby I, 1838",Bulinus eschariferus,7QH2H,1,Catalogue of Life,
416,Bulimulus rugulosus var.␤planospira,Bulimulus rugulosus var. planospira,90809,90844,19.45,3,NO_ANNOT,,,PartialExact,0,"Bulimulus planospira (Ancey, 1887)",Bulimulus planospira,44022,163,IUCN Red List of Threatened Species,
417,Bulimulus rugulosus,Bulimulus rugulosus,90893,90912,13.02,2,NO_ANNOT,,,Exact,0,"Bulimulus rugulosus (Sowerby, 1897)",Bulimulus rugulosus,44025,163,IUCN Red List of Threatened Species,
418,B. planospira,B. planospira,91269,91282,5.37,2,NO_ANNOT,,,NoMatch,,,,,,,,
419,Bulimulus,Bulimulus,91524,91533,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
420,Naesiotus ustulatus,Naesiotus ustulatus,91534,91553,13.17,2,NO_ANNOT,,,Exact,0,"Naesiotus ustulatus (G. B. Sowerby I, 1833)",Naesiotus ustulatus,7S94R,1,Catalogue of Life,
421,Bulinus ustulatus,Bulinus ustulatus,91563,91580,13.07,2,NO_ANNOT,,,Exact,0,"Bulinus ustulatus G. B. Sowerby I, 1833",Bulinus ustulatus,7QH4V,1,Catalogue of Life,
422,Buhmus ustulatus,Buhmus ustulatus,91654,91670,6.03,2,NO_ANNOT,,,NoMatch,,,,,,,,
423,Buliminus ustulatus,Buliminus ustulatus,91867,91886,13.48,2,NO_ANNOT,,,Exact,0,Buliminus ustulatus,Buliminus ustulatus,397004,183,Sherborn Index Animalium,
424,Ompkalostyla ustulatus,Ompkalostyla ustulatus,91925,91947,6.97,2,NO_ANNOT,,,NoMatch,,,,,,,,
425,Bulimus,Bulimus,91990,91997,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
426,Nirsiotus ustulatus,Nirsiotus ustulatus,91998,92017,6.86,2,NO_ANNOT,,,NoMatch,,,,,,,,
427,Bulimulus,Bulimulus,92047,92056,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
428,Bulimulus,Bulimulus,92115,92124,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
429,Nasiotus ustulatus,Nasiotus ustulatus,92125,92143,6.69,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus ustulatus (G. B. Sowerby I, 1833)",Naesiotus ustulatus,7S94R,1,Catalogue of Life,
430,Bulimulus,Bulimulus,92223,92232,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
431,NtFsiotus venustus,Ntfsiotus venustus,92233,92251,6.70,2,NO_ANNOT,,,NoMatch,,,,,,,,
432,B. ustulatus,B. ustulatus,92293,92305,7.39,2,NO_ANNOT,,,NoMatch,,,,,,,,
433,B. calvus,B. calvus,92514,92523,5.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
434,NaesiotuB calvus,Naesiotub calvus,92739,92755,2.82,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus calvus (G. B. Sowerby I, 1833)",Naesiotus calvus,7S932,1,Catalogue of Life,
435,Bulinus calvus,Bulinus calvus,92765,92779,10.89,2,NO_ANNOT,,,Exact,0,"Bulinus calvus G. B. Sowerby I, 1833",Bulinus calvus,7QGZT,1,Catalogue of Life,
436,Bulitnus calvus,Bulitnus calvus,92850,92865,4.83,2,NO_ANNOT,,,Fuzzy,1,"Bulinus calvus G. B. Sowerby I, 1833",Bulinus calvus,7QGZT,1,Catalogue of Life,
437,Bulimus,Bulimus,92991,92998,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
438,Buliminus calvus,Buliminus calvus,93018,93034,11.31,2,NO_ANNOT,,,Exact,0,Buliminus calvus,Buliminus calvus,101707,183,Sherborn Index Animalium,
439,Omphalostyla clavus,Omphalostyla clavus,93073,93092,7.60,2,NO_ANNOT,,,PartialExact,0,"Omphalostyla Adams, 1855",Omphalostyla,urn:lsid:irmng.org:taxname:1154622,181,IRMNG,
440,Bulimus calvus,Bulimus calvus,93136,93150,10.46,2,NO_ANNOT,,,Fuzzy,1,"Bulinus calvus G. B. Sowerby I, 1833",Bulinus calvus,7QGZT,1,Catalogue of Life,
441,Bulimulus,Bulimulus,93193,93202,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
442,Nesiotes calvus,Nesiotes calvus,93203,93218,8.76,2,NO_ANNOT,,,PartialExact,0,Nesiotes,Nesiotes,63F8S,1,Catalogue of Life,
443,Bulimulus,Bulimulus,93257,93266,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
444,Ncvsioius calvus,Ncvsioius calvus,93267,93283,4.22,2,NO_ANNOT,,,NoMatch,,,,,,,,
445,B. rugulosus.,B. rugulosus,93738,93751,6.77,2,NO_ANNOT,,,NoMatch,,,,,,,,
446,B. nueula,B. nueula,93752,93761,6.02,2,NO_ANNOT,,,NoMatch,,,,,,,,
447,Bulimulus,Bulimulus,93791,93800,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
448,Naesiotus nueula,Naesiotus nueula,93801,93817,11.80,2,NO_ANNOT,,,PartialExact,0,"Naesiotus Albers, 1850",Naesiotus,7P9GJ,1,Catalogue of Life,
449,Bulimus nueula,Bulimus nueula,93828,93842,11.26,2,NO_ANNOT,,,Fuzzy,1,"Bulimus nucula Pfeiffer, 1853",Bulimus nucula,9151523,11,GBIF Backbone Taxonomy,
450,Bulimus,Bulimus,93925,93932,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
451,Nasiotus nueula,Nasiotus nueula,93933,93948,5.32,2,NO_ANNOT,,,NoMatch,,,,,,,,
452,Bulimulus,Bulimulus,93989,93998,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
453,Omphalostyla,Omphalostyla,93999,94011,5.55,1,NO_ANNOT,,,Exact,0,"Omphalostyla Adams, 1855",Omphalostyla,urn:lsid:irmng.org:taxname:1154622,181,IRMNG,
454,Bulimulus,Bulimulus,94064,94073,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
455,Nesiotes nueula,Nesiotes nueula,94074,94089,9.56,2,NO_ANNOT,,,PartialExact,0,Nesiotes,Nesiotes,63F8S,1,Catalogue of Life,
456,Bulimulus,Bulimulus,94137,94146,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
457,Mrsiotus nueula,Mrsiotus nueula,94147,94162,5.32,2,NO_ANNOT,,,NoMatch,,,,,,,,
458,Bulimulus,Bulimulus,94232,94241,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
459,Wolf fide,Wolf fide,94327,94336,,2,NO_ANNOT,,,NoMatch,,,,,,,,
460,B. ustulatus,B. ustulatus,94917,94929,7.39,2,NO_ANNOT,,,NoMatch,,,,,,,,
461,B. calvus,B. calvus,94933,94942,5.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
462,Bulimulus,Bulimulus,95091,95100,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
463,Nsesiotus eschariferus,Nsesiotus eschariferus,95101,95123,6.43,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus eschariferus (G. B. Sowerby I, 1838)",Naesiotus eschariferus,7S93D,1,Catalogue of Life,
464,Btdinus eschariferus,Btdinus eschariferus,95133,95153,6.32,2,NO_ANNOT,,,NoMatch,,,,,,,,
465,Bulimus eschariferus,Bulimus eschariferus,95190,95210,12.20,2,NO_ANNOT,,,Fuzzy,1,"Bulinus eschariferus G. B. Sowerby I, 1838",Bulinus eschariferus,7QH2H,1,Catalogue of Life,
466,Bulimulus,Bulimulus,95290,95299,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
467,Ncrsiotus eschariferus,Ncrsiotus eschariferus,95300,95322,6.43,2,NO_ANNOT,,,NoMatch,,,,,,,,
468,Bulimus rugulosus,Bulimus rugulosus,95382,95399,12.01,2,NO_ANNOT,,,Fuzzy,1,"Bulinus rugulosus G. B. Sowerby I, 1838",Bulinus rugulosus,7QH48,1,Catalogue of Life,
469,Bulimulus,Bulimulus,95503,95512,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
470,Omphalostyla eschariferus,Omphalostyla eschariferus,95514,95539,12.84,2,NO_ANNOT,,,PartialExact,0,"Omphalostyla Adams, 1855",Omphalostyla,urn:lsid:irmng.org:taxname:1154622,181,IRMNG,
471,Bulirnulus eschariferus,Bulirnulus eschariferus,95583,95606,7.07,2,NO_ANNOT,,,NoMatch,,,,,,,,
472,B. eschariferus var.␤bizofialis,B. eschariferus var. bizofialis,95652,95683,10.60,3,NO_ANNOT,,,NoMatch,,,,,,,,
473,B. eschariferus var.␤subconoidalis,B. eschariferus var. subconoidalis,95712,95746,15.56,3,NO_ANNOT,,,NoMatch,,,,,,,,
474,Bulimulus,Bulimulus,95775,95784,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
475,Nasiotus eschariferus,Nasiotus eschariferus,95785,95806,6.26,2,NO_ANNOT,,,Fuzzy,1,"Naesiotus eschariferus (G. B. Sowerby I, 1838)",Naesiotus eschariferus,7S93D,1,Catalogue of Life,
476,Bulimulus,Bulimulus,96826,96835,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
477,Naesiotus eschariferus var.␤ventrosus,Naesiotus eschariferus var. ventrosus,96836,96873,20.72,3,NO_ANNOT,,,Exact,0,"Naesiotus eschariferus ventrosus (Sowerby, 1833)",Naesiotus eschariferus ventrosus,gn_130462,186,MCZbase,
478,Bulimulus,Bulimulus,96905,96914,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
479,ALCsiotus ventrosus,Alcsiotus ventrosus,96915,96934,6.24,2,NO_ANNOT,,,NoMatch,,,,,,,,
480,Wolf fide,Wolf fide,97002,97011,,2,NO_ANNOT,,,NoMatch,,,,,,,,
481,Bulimulus,Bulimulus,98314,98323,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
482,Naesiotus galapaganus,Naesiotus galapaganus,98324,98345,13.12,2,NO_ANNOT,,,Exact,0,"Naesiotus galapaganus (L. Pfeiffer, 1855)",Naesiotus galapaganus,7S93H,1,Catalogue of Life,
483,Bulimulus galapaganus,Bulimulus galapaganus,98356,98377,13.59,2,NO_ANNOT,,,Exact,0,"Bulimulus galapaganus (Pfeiffer, 1854)",Bulimulus galapaganus,44002,163,IUCN Red List of Threatened Species,
484,Ncrsiotus galapaganus,Ncrsiotus galapaganus,98446,98467,6.81,2,NO_ANNOT,,,NoMatch,,,,,,,,
485,Nesiotes galapaganus,Nesiotes galapaganus,98517,98537,10.88,2,NO_ANNOT,,,PartialExact,0,Nesiotes,Nesiotes,63F8S,1,Catalogue of Life,
486,Bulimulus,Bulimulus,98585,98594,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
487,Ncrsiotus galapaganus,Ncrsiotus galapaganus,98595,98616,6.81,2,NO_ANNOT,,,NoMatch,,,,,,,,
488,B. ustulatus,B. ustulatus,98839,98851,7.39,2,NO_ANNOT,,,NoMatch,,,,,,,,
489,B. galapaganus,B. galapaganus,98963,98977,7.34,2,NO_ANNOT,,,NoMatch,,,,,,,,
490,B. perspectivus,B. perspectivus,98986,99001,6.18,2,NO_ANNOT,,,NoMatch,,,,,,,,
491,Bulimulus,Bulimulus,99055,99064,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
492,Naesiotus perspectivus,Naesiotus perspectivus,99065,99087,11.96,2,NO_ANNOT,,,Exact,0,"Naesiotus perspectivus (L. Pfeiffer, 1846)",Naesiotus perspectivus,7S944,1,Catalogue of Life,
493,Bulimiis perspectivus,Bulimiis perspectivus,99098,99119,4.01,2,NO_ANNOT,,,NoMatch,,,,,,,,
494,Bulimus,Bulimus,99195,99202,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
495,Bulimulus,Bulimulus,99220,99229,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
496,Ataxus perspectivus,Ataxus perspectivus,99230,99249,10.48,2,NO_ANNOT,,,PartialExact,0,"Ataxus Albers, 1850",Ataxus,urn:lsid:irmng.org:taxname:1193019,181,IRMNG,
