Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
58,Leptinaria chathamensis,Leptinaria chathamensis,12625,12648,12.84,2,NO_ANNOT,,,Exact,0,"Leptinaria chathamensis Dall, 1892",Leptinaria chathamensis,3TJPJ,1,Catalogue of Life,
59,Helicma nesiotica,Helicma nesiotica,12673,12690,4.29,2,NO_ANNOT,,,NoMatch,,,,,,,,
60,Bulimulus rugulosus..,Bulimulus rugulosus,12728,12749,13.02,2,NO_ANNOT,,,Exact,0,"Bulimulus rugulosus (Sowerby, 1897)",Bulimulus rugulosus,44025,163,IUCN Red List of Threatened Species,
61,B. galapaganus.,B. galapaganus,12750,12765,7.34,2,NO_ANNOT,,,NoMatch,,,,,,,,
62,B. planospira.,B. planospira,12766,12780,5.37,2,NO_ANNOT,,,NoMatch,,,,,,,,
63,Succinea brevior.,Succinea brevior,12781,12798,10.72,2,NO_ANNOT,,,PartialExact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
64,Succinea,Succinea,12878,12886,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
65,Leptinaria chathamensis.,Leptinaria chathamensis,12919,12943,12.84,2,NO_ANNOT,,,Exact,0,"Leptinaria chathamensis Dall, 1892",Leptinaria chathamensis,3TJPJ,1,Catalogue of Life,
66,Bulimulus olla.,Bulimulus olla,12959,12974,7.74,2,NO_ANNOT,,,Exact,0,"Bulimulus olla (Dall, 1893)",Bulimulus olla,44018,163,IUCN Red List of Threatened Species,
67,B. duncanus.,B. duncanus,12975,12987,6.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
68,Bulimulus eschariferus var.␤ventrosus.,Bulimulus eschariferus var. ventrosus,13007,13045,21.20,3,NO_ANNOT,,,PartialExact,0,"Bulimulus (Naesiotus) ventrosus Reibisch, 1893",Bulimulus ventrosus,7QFPZ,1,Catalogue of Life,
69,Bulimulus jacobi var.␤cinereus.,Bulimulus jacobi var. cinereus,13069,13100,14.12,3,NO_ANNOT,,,PartialExact,0,"Bulimulus (Naesiotus) cinereus Reibisch, 1893",Bulimulus cinereus,7QFPX,1,Catalogue of Life,
70,Succinea,Succinea,13101,13109,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
