Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
148,Dorcelaphus,Dorcelaphus,3735,3746,5.11,1,NO_ANNOT,,,Exact,0,"Dorcelaphus Gloger, 1841",Dorcelaphus,urn:lsid:irmng.org:taxname:1180871,181,IRMNG,
149,Dormitator,Dormitator,3762,3772,4.22,1,NO_ANNOT,,,Exact,0,Dormitator,Dormitator,47VF,1,Catalogue of Life,
150,Dorosoma,Dorosoma,3777,3785,4.94,1,NO_ANNOT,,,Exact,0,Dorosoma,Dorosoma,47W3,1,Catalogue of Life,
151,Drepane,Drepane,3809,3816,2.20,1,NO_ANNOT,,,Exact,0,Drepane,Drepane,487N,1,Catalogue of Life,
152,Eatoniella,Eatoniella,3857,3867,6.37,1,NO_ANNOT,,,Exact,0,"Eatoniella Dall, 1876",Eatoniella,7P38K,1,Catalogue of Life,
153,Echeneis,Echeneis,3893,3901,4.85,1,NO_ANNOT,,,Exact,0,Echeneis,Echeneis,49FB,1,Catalogue of Life,
154,Edotea,Edotea,3906,3912,4.42,1,NO_ANNOT,,,Exact,0,"Edotea Guérin-Méneville, 1843",Edotea,92623,3,ITIS,
155,Eleotris,Eleotris,3933,3941,4.89,1,NO_ANNOT,,,Exact,0,Eleotris,Eleotris,62QFZ,1,Catalogue of Life,
156,Elephas,Elephas,3949,3956,3.57,1,NO_ANNOT,,,Exact,0,"Elephas Linnaeus, 1758",Elephas,62QHH,1,Catalogue of Life,
157,Eleutheractis,Eleutheractis,3961,3974,6.43,1,NO_ANNOT,,,Exact,0,"Eleutheractis Cope, 1871",Eleutheractis,urn:lsid:irmng.org:taxname:1150533,181,IRMNG,
158,Engraulis,Engraulis,4036,4045,4.29,1,NO_ANNOT,,,Exact,0,Engraulis,Engraulis,4BTX,1,Catalogue of Life,
159,Entomis,Entomis,4055,4062,5.03,1,NO_ANNOT,,,Exact,0,"Entomis Herrich-Schäffer, 1856",Entomis,urn:lsid:irmng.org:taxname:1406318,181,IRMNG,
160,Epinephelus,Epinephelus,4116,4127,6.21,1,NO_ANNOT,,,Exact,0,Epinephelus,Epinephelus,4D84,1,Catalogue of Life,
161,Episiphon,Episiphon,4143,4152,4.94,1,NO_ANNOT,,,Exact,0,"Episiphon Pilsbry & Sharp, 1897",Episiphon,7NYY3,1,Catalogue of Life,
162,Eques,Eques,4172,4177,2.73,1,NO_ANNOT,,,Exact,0,"Eques Bloch, 1793",Eques,urn:lsid:irmng.org:taxname:1055041,181,IRMNG,
163,Equula,Equula,4182,4188,4.29,1,NO_ANNOT,,,Exact,0,"Equula Cuvier, 1815",Equula,249231,2,Wikispecies,
164,Erethizon,Erethizon,4192,4201,3.00,1,NO_ANNOT,,,Exact,0,"Erethizon F. Cuvier, 1823",Erethizon,4DWN,1,Catalogue of Life,
165,Eriphyla,Eriphyla,4206,4214,4.85,1,NO_ANNOT,,,Exact,0,"Eriphyla Gabb, 1864",Eriphyla,7P3L6,1,Catalogue of Life,
166,Esox,Esox,4254,4258,2.08,1,NO_ANNOT,,,Exact,0,Esox,Esox,62RD5,1,Catalogue of Life,
167,Eucinostomus,Eucinostomus,4298,4310,5.85,1,NO_ANNOT,,,Exact,0,Eucinostomus,Eucinostomus,4F7T,1,Catalogue of Life,
168,Eunotia,Eunotia,4341,4348,4.87,1,NO_ANNOT,,,Exact,0,"Eunotia C.G. Ehrenberg, 1837",Eunotia,urn:lsid:marinespecies.org:taxname:149402,9,WoRMS,
169,Euomphalus,Euomphalus,4353,4363,6.09,1,NO_ANNOT,,,Exact,0,"Euomphalus J. de C. Sowerby, 1814",Euomphalus,7P3PZ,1,Catalogue of Life,
