Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
78,METASTOMA,Metastoma,17521,17530,5.11,1,NO_ANNOT,,,Exact,0,"Metastoma Strebel & Pfeffer, 1879",Metastoma,7P8SQ,1,Catalogue of Life,
79,Holospira,Holospira,17540,17549,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
80,MICROCERAMUS,Microceramus,20699,20711,5.85,1,NO_ANNOT,,,Exact,0,"Microceramus Pilsbry & Vanatta, 1898",Microceramus,7P8VF,1,Catalogue of Life,
81,Macroceramus,Macroceramus,20876,20888,5.85,1,NO_ANNOT,,,Exact,0,"Macroceramus Guilding, 1828",Macroceramus,7P865,1,Catalogue of Life,
82,Macroceramus,Macroceramus,21010,21022,5.85,1,NO_ANNOT,,,Exact,0,"Macroceramus Guilding, 1828",Macroceramus,7P865,1,Catalogue of Life,
83,Microceramus texanus,Microceramus texanus,21123,21143,12.74,2,NO_ANNOT,,,Exact,0,"Microceramus texanus (Pilsbry, 1898)",Microceramus texanus,7S5CM,1,Catalogue of Life,
84,Holospira goldfussi,Holospira goldfussi,21215,21234,10.59,2,NO_ANNOT,,,Exact,0,"Holospira goldfussi (Menke, 1847)",Holospira goldfussi,6M9NR,1,Catalogue of Life,
85,M. texanus,M. texanus,21916,21926,6.56,2,NO_ANNOT,,,NoMatch,,,,,,,,
86,M. mexicanus,M. mexicanus,21949,21961,6.91,2,NO_ANNOT,,,NoMatch,,,,,,,,
87,M. floridanus,M. floridanus,22056,22069,7.03,2,NO_ANNOT,,,NoMatch,,,,,,,,
88,Ashmunella,Ashmunella,22222,22232,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
89,Thysanophora,Thysanophora,22249,22261,6.59,1,NO_ANNOT,,,Exact,0,"Thysanophora Strebel & Pfeffer, 1879",Thysanophora,7PJHX,1,Catalogue of Life,
90,Sonorella,Sonorella,22271,22280,6.20,1,NO_ANNOT,,,Exact,0,"Sonorella Pilsbry, 1900",Sonorella,7PH3Y,1,Catalogue of Life,
91,Polygyra,Polygyra,22290,22298,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
92,Oreohelix,Oreohelix,22304,22313,4.83,1,NO_ANNOT,,,Exact,0,"Oreohelix Pilsbry, 1904",Oreohelix,7PBC4,1,Catalogue of Life,
93,Belogona euadenia,Belogona euadenia,22425,22442,3.49,2,NO_ANNOT,,,NoMatch,,,,,,,,
94,Thysanophora,Thysanophora,22592,22604,6.59,1,NO_ANNOT,,,Exact,0,"Thysanophora Strebel & Pfeffer, 1879",Thysanophora,7PJHX,1,Catalogue of Life,
95,Polygyra,Polygyra,22659,22667,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
96,Polygyra triodontoides,Polygyra triodontoides,22711,22733,11.44,2,NO_ANNOT,,,Exact,0,Polygyra triodontoides Bland,Polygyra triodontoides,gn_138008,186,MCZbase,
97,P. texasiana,P. texasiana,22913,22925,6.76,2,NO_ANNOT,,,NoMatch,,,,,,,,
98,P. texasiana.,P. texasiana,22998,23011,6.76,2,NO_ANNOT,,,NoMatch,,,,,,,,
99,ASHMUNELLA,Ashmunella,23012,23022,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
100,Helicidae,Helicidae,23229,23238,5.90,1,NO_ANNOT,,,Exact,0,"Helicidae Rafinesque, 1815",Helicidae,7NHSG,1,Catalogue of Life,
101,A. rhyssa,A. rhyssa,23947,23956,5.44,2,NO_ANNOT,,,NoMatch,,,,,,,,
102,Ashmunella,Ashmunella,25100,25110,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
103,Ashmunella,Ashmunella,26229,26239,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
104,Sonorella.,Sonorella,26275,26285,6.20,1,NO_ANNOT,,,Exact,0,"Sonorella Pilsbry, 1900",Sonorella,7PH3Y,1,Catalogue of Life,
105,Polygyra.,Polygyra,26457,26466,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
106,A. duplicidens,A. duplicidens,26659,26673,6.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
107,A. chiricahuana,A. chiricahuana,26678,26693,7.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
108,A. chiricahuana,A. chiricahuana,27075,27090,7.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
109,A. hyporhyssa,A. hyporhyssa,27809,27822,6.19,2,NO_ANNOT,,,NoMatch,,,,,,,,
110,Dall esuritor,Dall esuritor,27856,27869,,2,NO_ANNOT,,,PartialExact,0,Plataspidae (Dall ),Dall,4265215,168,ION,
111,Ashmunella,Ashmunella,28392,28402,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
112,Polygyra,Polygyra,28430,28438,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
113,Isognomostoma,Isognomostoma,28483,28496,5.72,1,NO_ANNOT,,,Exact,0,"Isognomostoma Fitzinger, 1833",Isognomostoma,7P5ZB,1,Catalogue of Life,
114,Helicodonta,Helicodonta,28501,28512,3.92,1,NO_ANNOT,,,Exact,0,"Helicodonta A. Férussac, 1821",Helicodonta,7P4XC,1,Catalogue of Life,
115,Ashmunella,Ashmunella,28600,28610,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
116,I. heterodonta,I. heterodonta,29075,29089,6.45,2,NO_ANNOT,,,NoMatch,,,,,,,,
117,Polygyra.,Polygyra,29110,29119,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
118,Polygyra,Polygyra,29400,29408,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
119,Polygyra,Polygyra,29482,29490,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
