Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
44,Sphex duhitatus,Sphex duhitatus,7859,7874,5.42,2,NO_ANNOT,,,Fuzzy,1,"Sphex dubitatus Cresson, 1873",Sphex dubitatus,4YYLD,1,Catalogue of Life,
45,Sphex,Sphex,8866,8871,2.73,1,SP_NOV,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
46,Sphex,Sphex,10650,10655,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
47,{Priononyx),Priononyx,10656,10667,4.46,1,NO_ANNOT,,,Exact,0,"Priononyx Dahlbom, 1843",Priononyx,6VTC,1,Catalogue of Life,
48,Sphex,Sphex,10809,10814,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
49,{Priononyx),Priononyx,10815,10826,4.46,1,NO_ANNOT,,,Exact,0,"Priononyx Dahlbom, 1843",Priononyx,6VTC,1,Catalogue of Life,
50,Psen aurifrons,Psen aurifrons,10932,10946,6.44,2,NO_ANNOT,,,Exact,0,"Psen aurifrons Tsuneki, 1959",Psen aurifrons,4NFZW,1,Catalogue of Life,
51,Psen,Psen,10998,11002,2.00,1,SP_NOV,,,Exact,0,"Psen Latreille, 1796",Psen,6YGJ,1,Catalogue of Life,
52,P. fuscipes.,P. fuscipes,12335,12347,5.79,2,NO_ANNOT,,,NoMatch,,,,,,,,
53,Stigmus neotropicus,Stigmus neotropicus,12348,12367,12.49,2,NO_ANNOT,,,Exact,0,"Stigmus neotropicus Kohl, 1890",Stigmus neotropicus,52NMY,1,Catalogue of Life,
54,Stigmus hexagonalis,Stigmus hexagonalis,12403,12422,12.63,2,SP_NOV,,,Exact,0,"Stigmus hexagonalis W. Fox, 1897",Stigmus hexagonalis,52NMF,1,Catalogue of Life,
55,S. temporalis,S. temporalis,13429,13442,7.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
56,Trachypus,Trachypus,13495,13504,5.90,1,NO_ANNOT,,,Exact,0,"Trachypus Klug, 1810",Trachypus,647ZM,1,Catalogue of Life,
57,Nysson tomentosus,Nysson tomentosus,13566,13583,8.47,2,NO_ANNOT,,,Exact,0,"Nysson tomentosus Handlirsch, 1887",Nysson tomentosus,488JF,1,Catalogue of Life,
58,Nysson pilosus,Nysson pilosus,13623,13637,7.99,2,NO_ANNOT,,,Exact,0,"Nysson pilosus F. Smith, 1873",Nysson pilosus,488GW,1,Catalogue of Life,
59,Bothynostethus,Bothynostethus,13678,13692,5.66,1,NO_ANNOT,,,Exact,0,"Bothynostethus Kohl, 1884",Bothynostethus,3BW8,1,Catalogue of Life,
60,Bothynostethus.,Bothynostethus,13786,13801,5.66,1,NO_ANNOT,,,Exact,0,"Bothynostethus Kohl, 1884",Bothynostethus,3BW8,1,Catalogue of Life,
61,"B. nitens,",B. nitens,14005,14015,5.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
62,Scapheutes brasilianus,Scapheutes brasilianus,14155,14177,11.22,2,NO_ANNOT,,,Exact,0,"Scapheutes brasilianus Handlirsch, 1895",Scapheutes brasilianus,6Y63S,1,Catalogue of Life,
63,Gorytes specialis,Gorytes specialis,14214,14231,10.26,2,NO_ANNOT,,,Exact,0,"Gorytes specialis F. Smith, 1873",Gorytes specialis,3H43M,1,Catalogue of Life,
64,G. polybia,G. polybia,14330,14340,5.60,2,NO_ANNOT,,,NoMatch,,,,,,,,
65,Gorytes facilis,Gorytes facilis,14451,14466,9.91,2,NO_ANNOT,,,Exact,0,"Gorytes facilis F. Smith, 1873",Gorytes facilis,3H3T7,1,Catalogue of Life,
66,G. simillimus,G. simillimus,14574,14587,6.40,2,NO_ANNOT,,,NoMatch,,,,,,,,
67,Gorytes scutellaris,Gorytes scutellaris,14631,14650,10.62,2,NO_ANNOT,,,Exact,0,"Gorytes scutellaris (Spinola, 1842)",Gorytes scutellaris,3H437,1,Catalogue of Life,
68,Gorytes seminiger,Gorytes seminiger,14728,14745,8.25,2,NO_ANNOT,,,Exact,0,"Gorytes seminiger (Dahlbom, 1843)",Gorytes seminiger,3H439,1,Catalogue of Life,
69,Gorytes cayennensis,Gorytes cayennensis,14793,14812,10.89,2,NO_ANNOT,,,Exact,0,"Gorytes cayennensis (Spinola, 1842)",Gorytes cayennensis,3H3QZ,1,Catalogue of Life,
70,Gorytes fuscus,Gorytes fuscus,14890,14904,9.48,2,NO_ANNOT,,,Exact,0,"Gorytes fuscus (Taschenberg, 1875)",Gorytes fuscus,6KPZZ,1,Catalogue of Life,
