Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
109,GILLIA,Gillia,27894,27900,3.85,1,NO_ANNOT,,,Exact,0,"Gillia Stimpson, 1865",Gillia,7P3N2,1,Catalogue of Life,
110,G. altilis,G. altilis,27908,27918,6.61,2,NO_ANNOT,,,NoMatch,,,,,,,,
111,"BYTHINELLA,",Bythinella,28139,28150,6.37,1,NO_ANNOT,,,Exact,0,"Bythinella Moquin-Tandon, 1856",Bythinella,7NRDF,1,Catalogue of Life,
112,B. nickliniana,B. nickliniana,28157,28171,7.18,2,NO_ANNOT,,,NoMatch,,,,,,,,
113,ANCULOSA,Anculosa,28261,28269,4.61,1,NO_ANNOT,,,Exact,0,"Anculosa Say, 1821",Anculosa,urn:lsid:irmng.org:taxname:1008122,181,IRMNG,
114,A. carinata,A. carinata,28275,28286,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
115,A. carinata,A. carinata,28737,28748,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
116,Anculosa,Anculosa,30337,30345,4.61,1,NO_ANNOT,,,Exact,0,"Anculosa Say, 1821",Anculosa,urn:lsid:irmng.org:taxname:1008122,181,IRMNG,
117,Goniobasis virgiiiica,Goniobasis virgiiiica,30431,30452,7.62,2,NO_ANNOT,,,PartialExact,0,"Goniobasis I. Lea, 1862",Goniobasis,urn:lsid:irmng.org:taxname:1195058,181,IRMNG,
118,Goniobasis,Goniobasis,30604,30614,5.11,1,NO_ANNOT,,,Exact,0,"Goniobasis I. Lea, 1862",Goniobasis,urn:lsid:irmng.org:taxname:1195058,181,IRMNG,
119,Aiiciilosa carinata,Aiiciilosa carinata,30690,30709,6.38,2,NO_ANNOT,,,NoMatch,,,,,,,,
120,A. dilatata,A. dilatata,34625,34636,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
121,GONIOBASIS,Goniobasis,34936,34946,5.11,1,NO_ANNOT,,,Exact,0,"Goniobasis I. Lea, 1862",Goniobasis,urn:lsid:irmng.org:taxname:1195058,181,IRMNG,
122,G. virginica,G. virginica,34952,34964,7.09,2,NO_ANNOT,,,NoMatch,,,,,,,,
123,Valvata,Valvata,35630,35637,4.32,1,NO_ANNOT,,,Exact,0,"Valvata O. F. Müller, 1773",Valvata,urn:lsid:marinespecies.org:taxname:153994,9,WoRMS,
124,V. bicarinata,V. bicarinata,35658,35671,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
125,S. striatinum,S. striatinum,35749,35762,6.92,2,NO_ANNOT,,,NoMatch,,,,,,,,
126,S. sulcatum,S. sulcatum,36118,36129,6.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
127,S. fabale,S. fabale,36172,36181,5.01,2,NO_ANNOT,,,NoMatch,,,,,,,,
128,UNIO,Unio,36301,36305,2.35,1,NO_ANNOT,,,Exact,0,"Unio Philipsson, 1788",Unio,7PKHN,1,Catalogue of Life,
129,TJ.␤complanatus,Tj. complanatus,36312,36327,7.81,2,NO_ANNOT,,,NoMatch,,,,,,,,
130,U. productus,U. productus,36542,36554,7.39,2,NO_ANNOT,,,NoMatch,,,,,,,,
131,U. tappanianus,U. tappanianus,36632,36646,7.34,2,NO_ANNOT,,,NoMatch,,,,,,,,
132,Unionidae,Unionidae,36943,36952,5.90,1,NO_ANNOT,,,Exact,0,"Unionidae Rafinesque, 1820",Unionidae,7NLH4,1,Catalogue of Life,
133,Anculosa,Anculosa,37001,37009,4.61,1,NO_ANNOT,,,Exact,0,"Anculosa Say, 1821",Anculosa,urn:lsid:irmng.org:taxname:1008122,181,IRMNG,
134,U. cariosus,U. cariosus,37039,37050,6.61,2,NO_ANNOT,,,NoMatch,,,,,,,,
135,U. radiatus,U. radiatus,37055,37066,7.23,2,NO_ANNOT,,,NoMatch,,,,,,,,
136,MARGARITANA,Margaritana,37104,37115,4.05,1,NO_ANNOT,,,Exact,0,Margaron (Margaritana),Margaritana,7PNY9,1,Catalogue of Life,
137,M. marginata,M. marginata,37123,37135,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
138,M. undulata,M. undulata,37320,37331,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
139,ANODONTA.,Anodonta,37372,37381,3.46,1,NO_ANNOT,,,Exact,0,"Anodonta Lamarck, 1799",Anodonta,7NP65,1,Catalogue of Life,
140,Gastrodonta,Gastrodonta,37624,37635,3.92,1,NO_ANNOT,,,Exact,0,"Gastrodonta Albers, 1850",Gastrodonta,7P37X,1,Catalogue of Life,
141,Pohjgyra tridentata,Pohjgyra tridentata,37833,37852,6.48,2,NO_ANNOT,,,NoMatch,,,,,,,,
