Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
1753	1753	NUM	CD	attr	be	DATE	False	False	False
or	or	CCONJ	CC	cc	1753		True	False	True
1700	1700	NUM	CD	conj	1753	DATE	False	False	False
,	,	PUNCT	,	punct	is		False	True	False
Cnicus	Cnicus	PROPN	NNP	nsubj	is	TAXA	True	False	False
is	be	VERB	VBZ	advcl	has		True	False	True
not	not	PART	RB	neg	is		True	False	True
free	free	ADJ	JJ	acomp	is		True	False	False
for	for	ADP	IN	prep	free		True	False	True
application	application	NOUN	NN	pobj	for		True	False	False
to	to	ADP	IN	prep	application		True	False	True
this	this	DET	DT	det	genus		True	False	True
vast	vast	ADJ	JJ	amod	genus		True	False	False
genus	genus	NOUN	NN	pobj	to		True	False	False
known	know	VERB	VBN	acl	genus		True	False	False
to	to	ADP	IN	prep	known		True	False	True
us	we	PRON	PRP	pobj	to		True	False	True
as	as	ADP	IN	prep	known		True	False	True
Thistles	Thistles	PROPN	NNP	pobj	as		True	False	False
,	,	PUNCT	,	punct	Thistles		False	True	False
the	the	DET	DT	det	name		True	False	True
Latin	latin	ADJ	JJ	amod	name	NORP	True	False	False
name	name	NOUN	NN	nsubj	be		True	False	True
of	of	ADP	IN	prep	name		True	False	True
which	which	DET	WDT	pobj	of		True	False	True
must	must	AUX	MD	aux	be		True	False	True
be	be	VERB	VB	relcl	Thistles		True	False	True
either	either	DET	DT	det	Carduiis		True	False	True
Carduiis	Carduiis	PROPN	NNP	attr	be		True	False	False
or	or	CCONJ	CC	cc	Carduiis		True	False	True
Cirsium	Cirsium	PROPN	NNP	conj	Carduiis	TAXA	True	False	False
.	.	PUNCT	.	punct	is		False	True	False
"
"	"
"	SPACE	_SP	punct	retained		False	False	False
These	these	DET	DT	det	two		True	False	True
two	two	NUM	CD	nsubjpass	retained	CARDINAL	True	False	True
will	will	AUX	MD	aux	retained		True	False	True
be	be	AUX	VB	auxpass	retained		True	False	True
retained	retain	VERB	VBN	ROOT	retained		True	False	False
,	,	PUNCT	,	punct	retained		False	True	False
or	or	CCONJ	CC	cc	retained		True	False	True
else	else	ADV	RB	advmod	or		True	False	True
the	the	DET	DT	det	genus		True	False	True
latter	latter	ADJ	JJ	amod	genus		True	False	True
genus	genus	NOUN	NN	nsubjpass	merged		True	False	False
will	will	AUX	MD	aux	merged		True	False	True
be	be	AUX	VB	auxpass	merged		True	False	True
merged	merge	VERB	VBN	conj	retained		True	False	False
in	in	ADP	IN	prep	merged		True	False	True
the	the	DET	DT	det	former		True	False	True
former	former	ADJ	JJ	pobj	in		True	False	True
,	,	PUNCT	,	punct	merged		False	True	False
according	accord	VERB	VBG	conj	merged		True	False	False
as	as	ADP	IN	mark	considered		True	False	True
the	the	DET	DT	det	genera		True	False	True
genera	genus	NOUN	NNS	nsubjpass	considered		True	False	False
be	be	AUX	VB	auxpass	considered		True	False	True
considered	consider	VERB	VBN	advcl	according		True	False	False
distinct	distinct	ADJ	JJ	oprd	considered		True	False	False
or	or	CCONJ	CC	cc	distinct		True	False	True
inseparable	inseparable	ADJ	JJ	conj	distinct		True	False	False
.	.	PUNCT	.	punct	merged		False	True	False
"
"	"
"	SPACE	_SP	punct	regard		False	False	False
I	I	PRON	PRP	nsubj	regard		True	False	True
regard	regard	VERB	VBP	ROOT	regard		True	False	False
them	they	PRON	PRP	dobj	regard		True	False	True
as	as	ADP	IN	prep	regard		True	False	True
inseparable	inseparable	ADJ	JJ	amod	as		True	False	False
,	,	PUNCT	,	punct	regard		False	True	False
and	and	CCONJ	CC	cc	regard		True	False	True
