Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
120,Nomada citrina,Nomada citrina,64766,64780,8.89,2,NO_ANNOT,,,Exact,0,"Nomada citrina Cresson, 1878",Nomada citrina,6RYY3,1,Catalogue of Life,
121,A.␤morrisoni,A. morrisoni,65227,65239,6.43,2,NO_ANNOT,,,NoMatch,,,,,,,,
122,Nomada morrisoni,Nomada morrisoni,66026,66042,8.86,2,NO_ANNOT,,,Exact,0,"Nomada morrisoni Cresson, 1878",Nomada morrisoni,47NBJ,1,Catalogue of Life,
123,MELANOMADA,Melanomada,66726,66736,2.98,1,NO_ANNOT,,,Exact,0,"Melanomada Cockerell, 1903",Melanomada,urn:lsid:irmng.org:taxname:1367362,181,IRMNG,
124,Holonomada,Holonomada,66807,66817,2.98,1,NO_ANNOT,,,Exact,0,"Holonomada Robertson, 1903",Holonomada,urn:lsid:irmng.org:taxname:1171256,181,IRMNG,
125,Melanomada,Melanomada,67424,67434,2.98,1,NO_ANNOT,,,Exact,0,"Melanomada Cockerell, 1903",Melanomada,urn:lsid:irmng.org:taxname:1367362,181,IRMNG,
126,A.␤limata,A. limata,67455,67464,6.93,2,SP_NOV,,,NoMatch,,,,,,,,
127,Nomada magnifica,Nomada magnifica,67473,67489,9.53,2,SP_NOV,,,Exact,0,Nomada magnifica,Nomada magnifica,7853892,179,Open Tree of Life,
128,Holonomada.,Holonomada,69130,69141,2.98,1,NO_ANNOT,,,Exact,0,"Holonomada Robertson, 1903",Holonomada,urn:lsid:irmng.org:taxname:1171256,181,IRMNG,
129,Nomada excellens,Nomada excellens,69142,69158,8.53,2,NO_ANNOT,,,Exact,0,Nomada excellens,Nomada excellens,7853885,179,Open Tree of Life,
130,Nomada erigeronis,Nomada erigeronis,69395,69412,9.40,2,NO_ANNOT,,,Exact,0,"Nomada erigeronis Robertson, 1897",Nomada erigeronis,47N43,1,Catalogue of Life,
131,Centrias,Centrias,69538,69546,5.33,1,NO_ANNOT,,,Exact,0,"Centrias Robertson, 1903",Centrias,urn:lsid:irmng.org:taxname:1445876,181,IRMNG,
132,N. belfragei.,N. belfragei,69837,69850,5.48,2,NO_ANNOT,,,NoMatch,,,,,,,,
133,Nomada latifrons,Nomada latifrons,69851,69867,6.53,2,NO_ANNOT,,,Exact,0,"Nomada latifrons Cockerell, 1903",Nomada latifrons,47N9D,1,Catalogue of Life,
134,Nomada vinnula,Nomada vinnula,70082,70096,8.74,2,NO_ANNOT,,,Exact,0,Nomada vinnula,Nomada vinnula,7853905,179,Open Tree of Life,
135,Nomada nigrocincta,Nomada nigrocincta,70479,70497,9.35,2,NO_ANNOT,,,Exact,0,"Nomada nigrocincta Smith, 1879",Nomada nigrocincta,47NC7,1,Catalogue of Life,
136,Nomada,Nomada,70926,70932,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
137,June lewisii,June lewisii,72000,72012,,2,NO_ANNOT,,,NoMatch,,,,,,,,
