Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
27,Cochliopa guatemalensis,Cochliopa guatemalensis,5003,5026,12.62,2,NO_ANNOT,,,PartialExact,0,"Cochliopa Stimpson, 1865",Cochliopa,7NT7Y,1,Catalogue of Life,
28,Valvata guatemalensis,Valvata guatemalensis,5035,5056,12.18,2,NO_ANNOT,,,Exact,0,"Valvata guatemalensis Morelet, 1851",Valvata guatemalensis,7FD7T,1,Catalogue of Life,
29,Testacea,Testacea,5065,5073,3.20,1,NO_ANNOT,,,Exact,0,Testacea Linnaeus 1758,Testacea,89234733,132,ZooBank,
30,Cochliopa guatemalensis,Cochliopa guatemalensis,5190,5213,12.62,2,NO_ANNOT,,,PartialExact,0,"Cochliopa Stimpson, 1865",Cochliopa,7NT7Y,1,Catalogue of Life,
31,Cochliopa rowelli,Cochliopa rowelli,5295,5312,10.79,2,NO_ANNOT,,,Exact,0,"Cochliopa rowelli (Tryon, 1863)",Cochliopa rowelli,WN8W,1,Catalogue of Life,
32,Amnicola rowelli,Amnicola rowelli,5320,5336,11.54,2,NO_ANNOT,,,Exact,0,"Amnicola rowelli Tryon, 1863",Amnicola rowelli,CVY8,1,Catalogue of Life,
33,Cochliopa rowelli,Cochliopa rowelli,5394,5411,10.79,2,NO_ANNOT,,,Exact,0,"Cochliopa rowelli (Tryon, 1863)",Cochliopa rowelli,WN8W,1,Catalogue of Life,
34,Cochliopa tryoniana,Cochliopa tryoniana,6159,6178,11.86,2,NO_ANNOT,,,Exact,0,"Cochliopa tryoniana Pilsbry, 1890",Cochliopa tryoniana,WN8X,1,Catalogue of Life,
35,Rica.,Rica,6330,6335,1.99,1,NO_ANNOT,,,NoMatch,,,,,,,,
36,Cochliopa trochulus,Cochliopa trochulus,6336,6355,11.89,2,NO_ANNOT,,,Exact,0,Cochliopa trochulus,Cochliopa trochulus,3823389,168,ION,
37,Rica,Rica,6415,6419,1.99,1,NO_ANNOT,,,NoMatch,,,,,,,,
38,Cochliopa infundibulum,Cochliopa infundibulum,6463,6485,8.50,2,NO_ANNOT,,,Exact,0,"Cochliopa infundibulum Martens, 1899",Cochliopa infundibulum,WN8P,1,Catalogue of Life,
39,Esmeralda,Esmeralda,6575,6584,4.46,1,NO_ANNOT,,,Exact,0,"Esmeralda Pilsbry & Olsson, 1952",Esmeralda,7P3LN,1,Catalogue of Life,
40,Cochliopa.,Cochliopa,6694,6704,4.76,1,NO_ANNOT,,,Exact,0,"Cochliopa Stimpson, 1865",Cochliopa,7NT7Y,1,Catalogue of Life,
41,Cochliopa hinkleyi,Cochliopa hinkleyi,6705,6723,11.11,2,NO_ANNOT,,,Exact,0,"Cochliopa hinkleyi Pilsbry, 1920",Cochliopa hinkleyi,WN8N,1,Catalogue of Life,
42,Cochliopa hinkleyi.,Cochliopa hinkleyi,7323,7342,11.11,2,NO_ANNOT,,,Exact,0,"Cochliopa hinkleyi Pilsbry, 1920",Cochliopa hinkleyi,WN8N,1,Catalogue of Life,
43,C. guatemalensis,C. guatemalensis,7414,7430,7.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
44,Planorbis,Planorbis,7469,7478,4.83,1,NO_ANNOT,,,Exact,0,"Planorbis O. F. Müller, 1773",Planorbis,7PCRT,1,Catalogue of Life,
45,Cochliopa minor,Cochliopa minor,7693,7708,6.06,2,NO_ANNOT,,,Exact,0,"Cochliopa minor Pilsbry, 1920",Cochliopa minor,WN8S,1,Catalogue of Life,
46,Cochliopa minor.,Cochliopa minor,8388,8404,6.06,2,NO_ANNOT,,,Exact,0,"Cochliopa minor Pilsbry, 1920",Cochliopa minor,WN8S,1,Catalogue of Life,
47,C. guatemalensis,C. guatemalensis,8570,8586,7.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
48,Amnicolidae.,Amnicolidae,8936,8948,4.57,1,NO_ANNOT,,,Exact,0,"Amnicolidae Tryon, 1863",Amnicolidae,7NFWD,1,Catalogue of Life,
49,Cochliopa izabal,Cochliopa izabal,8949,8965,8.83,2,NO_ANNOT,,,Exact,0,"Cochliopa izabal Pilsbry, 1920",Cochliopa izabal,WN8Q,1,Catalogue of Life,
50,Cochliopa izabal.,Cochliopa izabal,9313,9330,8.83,2,NO_ANNOT,,,Exact,0,"Cochliopa izabal Pilsbry, 1920",Cochliopa izabal,WN8Q,1,Catalogue of Life,
51,C. guatemalensis.,C. guatemalensis,10413,10430,7.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
52,Cochliopa izabal mut.␤perstriata.,Cochliopa izabal mut. perstriata,10622,10655,17.82,3,NO_ANNOT,,,Exact,0,"Cochliopa izabal perstriata Pilsbry, 1920",Cochliopa izabal perstriata,7JN5H,1,Catalogue of Life,
53,Pachychilus.,Pachychilus,10673,10685,6.21,1,NO_ANNOT,,,Exact,0,"Pachychilus I. Lea & H. C. Lea, 1851",Pachychilus,7PBGT,1,Catalogue of Life,
54,Pachychilus,Pachychilus,10686,10697,6.21,1,NO_ANNOT,,,Exact,0,"Pachychilus I. Lea & H. C. Lea, 1851",Pachychilus,7PBGT,1,Catalogue of Life,
55,P. cummingii,P. cummingii,10755,10767,6.30,2,NO_ANNOT,,,NoMatch,,,,,,,,
56,Pachychila,Pachychila,10795,10805,4.33,1,NO_ANNOT,,,Exact,0,"Pachychila Eschscholtz, 1831",Pachychila,urn:lsid:irmng.org:taxname:1328323,181,IRMNG,
57,Coleoptera,Coleoptera,10857,10867,3.70,1,NO_ANNOT,,,Exact,0,Coleoptera,Coleoptera,C2L,1,Catalogue of Life,
58,Cercimelania,Cercimelania,10870,10882,4.56,1,NO_ANNOT,,,Exact,0,"Cercimelania Fischer & Crosse, 1892",Cercimelania,urn:lsid:irmng.org:taxname:1252639,181,IRMNG,
59,Glyptomelania,Glyptomelania,10978,10991,4.65,1,NO_ANNOT,,,Exact,0,"Glyptomelania Crosse & Fischer, 1892",Glyptomelania,urn:lsid:irmng.org:taxname:1175253,181,IRMNG,
60,P. glaphyrus,P. glaphyrus,11022,11034,6.63,2,NO_ANNOT,,,NoMatch,,,,,,,,
61,Oxymelania,Oxymelania,11042,11052,4.20,1,NO_ANNOT,,,Exact,0,"Oxymelania Crosse & P. Fischer, 1892",Oxymelania,urn:lsid:irmng.org:taxname:1247144,181,IRMNG,
62,P. schiedeanus,P. schiedeanus,11083,11097,7.34,2,NO_ANNOT,,,NoMatch,,,,,,,,
63,Sphaeromelania,Sphaeromelania,11104,11118,4.88,1,NO_ANNOT,,,Exact,0,"Sphaeromelania Rovereto, 1899",Sphaeromelania,urn:lsid:irmng.org:taxname:1239121,181,IRMNG,
64,Pachychilus,Pachychilus,11206,11217,6.21,1,NO_ANNOT,,,Exact,0,"Pachychilus I. Lea & H. C. Lea, 1851",Pachychilus,7PBGT,1,Catalogue of Life,
65,Pachychilus,Pachychilus,11279,11290,6.21,1,NO_ANNOT,,,Exact,0,"Pachychilus I. Lea & H. C. Lea, 1851",Pachychilus,7PBGT,1,Catalogue of Life,
66,Pachychila,Pachychila,11295,11305,4.33,1,NO_ANNOT,,,Exact,0,"Pachychila Eschscholtz, 1831",Pachychila,urn:lsid:irmng.org:taxname:1328323,181,IRMNG,
67,Cercimelania,Cercimelania,11637,11649,4.56,1,NO_ANNOT,,,Exact,0,"Cercimelania Fischer & Crosse, 1892",Cercimelania,urn:lsid:irmng.org:taxname:1252639,181,IRMNG,
68,Pachychilus.,Pachychilus,11697,11709,6.21,1,NO_ANNOT,,,Exact,0,"Pachychilus I. Lea & H. C. Lea, 1851",Pachychilus,7PBGT,1,Catalogue of Life,
69,Odontosagda havanensis,Odontosagda havanensis,11745,11767,11.50,2,NO_ANNOT,,,Exact,0,"Odontosagda havanensis Vanatta, 1920",Odontosagda havanensis,7SD69,1,Catalogue of Life,
70,Odontosagda hillei,Odontosagda hillei,12763,12781,9.52,2,NO_ANNOT,,,Exact,0,Odontosagda hillei Gund,Odontosagda hillei,gn_119947,186,MCZbase,
71,Odontosagda,Odontosagda,12900,12911,3.87,1,NO_ANNOT,,,Exact,0,"Odontosagda E. von Martens, 1860",Odontosagda,7PB54,1,Catalogue of Life,
72,Praticolella griseola,Praticolella griseola,12932,12953,13.58,2,NO_ANNOT,,,Exact,0,"Praticolella griseola (L. Pfeiffer, 1841)",Praticolella griseola,4M9ST,1,Catalogue of Life,
73,Volvidens,Volvidens,13010,13019,4.48,1,NO_ANNOT,,,Exact,0,"Volvidens Henderson, 1914",Volvidens,7PKYQ,1,Catalogue of Life,
74,Urocoptis poeyana,Urocoptis poeyana,13038,13055,12.55,2,NO_ANNOT,,,Exact,0,Urocoptis (Cochlodinella) poeyana Orb.,Urocoptis poeyana,gn_55621,186,MCZbase,
75,Guppya gundlachi,Guppya gundlachi,13062,13078,9.28,2,NO_ANNOT,,,Exact,0,"Guppya gundlachi (L. Pfeiffer, 1840)",Guppya gundlachi,3HMJD,1,Catalogue of Life,
76,Caecilioides,Caecilioides,13085,13097,5.45,1,NO_ANNOT,,,Exact,0,"Caecilioides Herrmannsen, 1846",Caecilioides,urn:lsid:marinespecies.org:taxname:998425,9,WoRMS,
77,Ennea bicolor,Ennea bicolor,13119,13132,7.25,2,NO_ANNOT,,,Exact,0,"Ennea bicolor (T. Hutton, 1834)",Ennea bicolor,7R76F,1,Catalogue of Life,
78,Zonitoides bregyi,Zonitoides bregyi,13141,13158,9.16,2,NO_ANNOT,,,Exact,0,"Zonitoides bregyi Vanatta, 1920",Zonitoides bregyi,urn:lsid:marinespecies.org:taxname:1484057,9,WoRMS,
79,Zonitoides maya,Zonitoides maya,14028,14043,4.51,2,NO_ANNOT,,,PartialExact,0,"Zonitoides Lehmann, 1862",Zonitoides,7PLG4,1,Catalogue of Life,
80,Striatura neomexicana,Striatura neomexicana,14085,14106,13.00,2,NO_ANNOT,,,PartialExact,0,"Striatura Morse, 1864",Striatura,7PHL8,1,Catalogue of Life,
81,Caecilioides domingensis,Caecilioides domingensis,14192,14216,13.38,2,NO_ANNOT,,,Exact,0,"Caecilioides domingensis Vanatta, 1920",Caecilioides domingensis,7QHYT,1,Catalogue of Life,
82,Caecilioides consobrina,Caecilioides consobrina,15006,15029,12.72,2,NO_ANNOT,,,Exact,0,Caecilioides consobrina Orb.,Caecilioides consobrina,gn_29611,186,MCZbase,
83,Opisthosiphon maynardi,Opisthosiphon maynardi,15035,15057,11.50,2,NO_ANNOT,,,Exact,0,"Opisthosiphon maynardi Vanatta, 1920",Opisthosiphon maynardi,7SJTT,1,Catalogue of Life,
84,Opisthosiphon hohamensis,Opisthosiphon hohamensis,17484,17508,8.15,2,NO_ANNOT,,,PartialExact,0,"Opisthosiphon Dall, 1905",Opisthosiphon,7PBBF,1,Catalogue of Life,
85,Helicina abbotti,Helicina abbotti,17786,17802,9.32,2,NO_ANNOT,,,Exact,0,"Helicina abbotti Vanatta, 1920",Helicina abbotti,7RHTB,1,Catalogue of Life,
86,Helicina,Helicina,18839,18847,3.96,1,NO_ANNOT,,,Exact,0,"Helicina Rafinesque, 1815",Helicina,7NVZP,1,Catalogue of Life,
87,Artecallosa continua,Artecallosa continua,18848,18868,7.12,2,NO_ANNOT,,,PartialExact,0,"Artecallosa Wagner in Martini & Chemnitz, 1908",Artecallosa,urn:lsid:irmng.org:taxname:1239752,181,IRMNG,
88,Stoastoma domingensis,Stoastoma domingensis,19040,19061,13.04,2,SP_NOV,,,Exact,0,"Stoastoma domingensis Vanatta, 1920",Stoastoma domingensis,7T8DJ,1,Catalogue of Life,
89,Stoastoma,Stoastoma,20114,20123,5.11,1,NO_ANNOT,,,Exact,0,"Stoastoma C. B. Adams, 1849",Stoastoma,7PHJ5,1,Catalogue of Life,
90,Lindsleya leanum,Lindsleya leanum,20124,20140,11.43,2,NO_ANNOT,,,PartialExact,0,"Lindsleya Chitty, 1857",Lindsleya,urn:lsid:irmng.org:taxname:1159239,181,IRMNG,
91,NOTES,Notes,20244,20249,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
92,ARACHNOIDISCUS.,Arachnoidiscus,20253,20268,7.01,1,NO_ANNOT,,,Exact,0,"Arachnoidiscus Deane ex Shaldbolt, 1852",Arachnoidiscus,2624,3,ITIS,
93,Arachnoidiscus,Arachnoidiscus,20329,20343,7.01,1,NO_ANNOT,,,Exact,0,"Arachnoidiscus Deane ex Shaldbolt, 1852",Arachnoidiscus,2624,3,ITIS,
94,Arach7ioidisciis ehrenbergii,Arach�ioidisciis ehrenbergii,20472,20500,5.37,2,NO_ANNOT,,,NoMatch,,,,,,,,
95,Arachnoidiscus,Arachnoidiscus,20702,20716,7.01,1,NO_ANNOT,,,Exact,0,"Arachnoidiscus Deane ex Shaldbolt, 1852",Arachnoidiscus,2624,3,ITIS,
96,A. ehrenbergii var.␤cuneatus.,A. ehrenbergii var. cuneatus,20738,20767,14.79,3,NO_ANNOT,,,NoMatch,,,,,,,,
97,Gelidium,Gelidium,21113,21121,5.11,1,NO_ANNOT,,,Exact,0,"Gelidium J.V.F. Lamouroux, 1813",Gelidium,62T5Y,1,Catalogue of Life,
98,Arachnoidiscus,Arachnoidiscus,21879,21893,7.01,1,NO_ANNOT,,,Exact,0,"Arachnoidiscus Deane ex Shaldbolt, 1852",Arachnoidiscus,2624,3,ITIS,
99,Arachnoidiscus.,Arachnoidiscus,22039,22054,7.01,1,NO_ANNOT,,,Exact,0,"Arachnoidiscus Deane ex Shaldbolt, 1852",Arachnoidiscus,2624,3,ITIS,
100,Isthmia,Isthmia,22066,22073,4.36,1,NO_ANNOT,,,Exact,0,Isthmia Agardh,Isthmia,2720,3,ITIS,
101,Climacosphenia,Climacosphenia,22192,22206,4.88,1,NO_ANNOT,,,Exact,0,"Climacosphenia Ehrenberg, 1841",Climacosphenia,urn:lsid:marinespecies.org:taxname:248081,9,WoRMS,
102,Arachnoidiscus,Arachnoidiscus,22245,22259,7.01,1,NO_ANNOT,,,Exact,0,"Arachnoidiscus Deane ex Shaldbolt, 1852",Arachnoidiscus,2624,3,ITIS,
103,Arachnoidiscus ehrenbergii var.␤cuneatus.,Arachnoidiscus ehrenbergii var. cuneatus,22491,22532,22.13,3,NO_ANNOT,,,Exact,0,"Arachnoidiscus ehrenbergii var. cuneatus Monks, 1920",Arachnoidiscus ehrenbergii cuneatus,urn:lsid:marinespecies.org:taxname:974183,9,WoRMS,
