Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
62,Trachypus,Trachypus,13007,13016,5.90,1,NO_ANNOT,,,Exact,0,"Trachypus Klug, 1810",Trachypus,647ZM,1,Catalogue of Life,
63,Nysson tomentosus,Nysson tomentosus,13075,13092,8.47,2,NO_ANNOT,,,Exact,0,"Nysson tomentosus Handlirsch, 1887",Nysson tomentosus,488JF,1,Catalogue of Life,
64,Nysson pilosus,Nysson pilosus,13130,13144,7.99,2,NO_ANNOT,,,Exact,0,"Nysson pilosus F. Smith, 1873",Nysson pilosus,488GW,1,Catalogue of Life,
65,Bothynostethus,Bothynostethus,13183,13197,5.66,1,NO_ANNOT,,,Exact,0,"Bothynostethus Kohl, 1884",Bothynostethus,3BW8,1,Catalogue of Life,
66,Bothynostethus.,Bothynostethus,13290,13305,5.66,1,NO_ANNOT,,,Exact,0,"Bothynostethus Kohl, 1884",Bothynostethus,3BW8,1,Catalogue of Life,
67,B. nitens,B. nitens,13508,13517,5.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
68,Scapheutes brasilianus,Scapheutes brasilianus,13651,13673,11.22,2,NO_ANNOT,,,Exact,0,"Scapheutes brasilianus Handlirsch, 1895",Scapheutes brasilianus,6Y63S,1,Catalogue of Life,
69,Gorytes specialis,Gorytes specialis,13708,13725,10.26,2,NO_ANNOT,,,Exact,0,"Gorytes specialis F. Smith, 1873",Gorytes specialis,3H43M,1,Catalogue of Life,
70,G. polybia,G. polybia,13824,13834,5.60,2,NO_ANNOT,,,NoMatch,,,,,,,,
71,Gorytes facilis,Gorytes facilis,13940,13955,9.91,2,NO_ANNOT,,,Exact,0,"Gorytes facilis F. Smith, 1873",Gorytes facilis,3H3T7,1,Catalogue of Life,
72,G. simillimus,G. simillimus,14057,14070,6.40,2,NO_ANNOT,,,NoMatch,,,,,,,,
73,Gorytes scutellaris,Gorytes scutellaris,14114,14133,10.62,2,NO_ANNOT,,,Exact,0,"Gorytes scutellaris (Spinola, 1842)",Gorytes scutellaris,3H437,1,Catalogue of Life,
74,Gorytes seminiger,Gorytes seminiger,14204,14221,8.25,2,NO_ANNOT,,,Exact,0,"Gorytes seminiger (Dahlbom, 1843)",Gorytes seminiger,3H439,1,Catalogue of Life,
75,Gorytes cayennensis,Gorytes cayennensis,14267,14286,10.89,2,NO_ANNOT,,,Exact,0,"Gorytes cayennensis (Spinola, 1842)",Gorytes cayennensis,3H3QZ,1,Catalogue of Life,
76,Gorytes fuscus,Gorytes fuscus,14358,14372,9.48,2,NO_ANNOT,,,Exact,0,"Gorytes fuscus (Taschenberg, 1875)",Gorytes fuscus,6KPZZ,1,Catalogue of Life,
77,Gorytes valens,Gorytes valens,14404,14418,8.75,2,SP_NOV,,,Exact,0,"Gorytes valens W. Fox, 1897",Gorytes valens,3H44W,1,Catalogue of Life,
78,Gorytes,Gorytes,14789,14796,2.96,1,NO_ANNOT,,,Exact,0,"Gorytes Latreille, 1805",Gorytes,4QFG,1,Catalogue of Life,
79,Gorytes,Gorytes,16249,16256,2.96,1,NO_ANNOT,,,Exact,0,"Gorytes Latreille, 1805",Gorytes,4QFG,1,Catalogue of Life,
80,G. moneduloides,G. moneduloides,16707,16722,6.31,2,NO_ANNOT,,,NoMatch,,,,,,,,
81,Gorytes partitus,Gorytes partitus,16760,16776,10.52,2,SP_NOV,,,Exact,0,"Gorytes partitus W. Fox, 1897",Gorytes partitus,3H3YN,1,Catalogue of Life,
82,Gorytes coloratus,Gorytes coloratus,18185,18202,10.68,2,SP_NOV,,,Exact,0,"Gorytes coloratus W. Fox, 1897",Gorytes coloratus,3H3RF,1,Catalogue of Life,
83,G. violaceus,G. violaceus,20229,20241,6.59,2,NO_ANNOT,,,NoMatch,,,,,,,,
84,Bembidula discisa,Bembidula discisa,20642,20659,10.46,2,NO_ANNOT,,,Exact,0,"Bembidula discisa (Taschenberg, 1870)",Bembidula discisa,5WJ3C,1,Catalogue of Life,
85,Bembidula variegata,Bembidula variegata,20740,20759,12.91,2,NO_ANNOT,,,Exact,0,"Bembidula variegata (Olivier, 1789)",Bembidula variegata,5WJ2M,1,Catalogue of Life,
86,Monedula signata,Monedula signata,20842,20858,12.38,2,NO_ANNOT,,,Exact,0,"Monedula signata (Linnaeus, 1758)",Monedula signata,442XM,1,Catalogue of Life,
87,Monedula punctata,Monedula punctata,20894,20911,12.58,2,NO_ANNOT,,,Exact,0,"Monedula punctata (Fabricius, 1775)",Monedula punctata,442XF,1,Catalogue of Life,
88,Monedula surinamensis,Monedula surinamensis,20952,20973,12.66,2,NO_ANNOT,,,Exact,0,"Monedula surinamensis (De Geer, 1778)",Monedula surinamensis,6RNFF,1,Catalogue of Life,
89,Monedula magnifica,Monedula magnifica,21089,21107,12.26,2,NO_ANNOT,,,Exact,0,"Monedula magnifica Perty, 1833",Monedula magnifica,73NFH,1,Catalogue of Life,
90,Stizus,Stizus,21192,21198,2.87,1,NO_ANNOT,,,Exact,0,"Stizus Latreille, 1802",Stizus,7NT2,1,Catalogue of Life,
91,Trypoxylon pallitarse,Trypoxylon pallitarse,21368,21389,8.95,2,NO_ANNOT,,,PartialExact,0,"Trypoxylon Latreille, 1796",Trypoxylon,83CD,1,Catalogue of Life,
92,Trypoxylon niveitarse,Trypoxylon niveitarse,21432,21453,8.95,2,NO_ANNOT,,,Exact,0,"Trypoxylon (Trypargilum) niveitarse de Saussure, 1867",Trypoxylon niveitarse,7X4Z2,1,Catalogue of Life,
93,Trypoxylon rufosignatum,Trypoxylon rufosignatum,21520,21543,12.14,2,NO_ANNOT,,,Exact,0,"Trypoxylon rufosignatum Taschenberg, 1875",Trypoxylon rufosignatum,7X5TK,1,Catalogue of Life,
94,Trypoxylon fabricator,Trypoxylon fabricator,21583,21604,10.41,2,NO_ANNOT,,,Exact,0,"Trypoxylon (Trypoxylon) fabricator F. Smith, 1873",Trypoxylon fabricator,7X584,1,Catalogue of Life,
95,Trypoxylon superbum,Trypoxylon superbum,21701,21720,9.85,2,NO_ANNOT,,,Exact,0,"Trypoxylon (Trypargilum) superbum F. Smith, 1873",Trypoxylon superbum,7X529,1,Catalogue of Life,
96,Trypoxylon,Trypoxylon,21754,21764,4.43,1,NO_ANNOT,,,Exact,0,"Trypoxylon Latreille, 1796",Trypoxylon,83CD,1,Catalogue of Life,
97,Trypoxylon laeve,Trypoxylon laeve,21811,21827,8.38,2,SP_NOV,,,Exact,0,"Trypoxylon (Trypargilum) laeve W. Fox, 1897",Trypoxylon laeve,7X4YJ,1,Catalogue of Life,
98,Trypoxylon insolitum,Trypoxylon insolitum,23466,23486,11.82,2,SP_NOV,,,Exact,0,"Trypoxylon (Trypoxylon) insolitum W. Fox, 1897",Trypoxylon insolitum,7X59Z,1,Catalogue of Life,
99,Trypoxylon medianum,Trypoxylon medianum,25143,25162,11.40,2,SP_NOV,,,Exact,0,"Trypoxylon medianum W. Fox, 1897",Trypoxylon medianum,7X5S8,1,Catalogue of Life,
100,Trypoxylon fallax,Trypoxylon fallax,26312,26329,8.42,2,SP_NOV,,,Exact,0,"Trypoxylon fallax W. Fox, 1897",Trypoxylon fallax,7X5RK,1,Catalogue of Life,
