Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
26,F.  cumingi,F. cumingi,2134,2145,5.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
27,C.  irrorata,C. irrorata,2215,2227,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
28,C.  madagascariensis,C. madagascariensis,2255,2275,7.91,2,NO_ANNOT,,,NoMatch,,,,,,,,
29,F.  moncta,F. moncta,2280,2290,5.85,2,NO_ANNOT,,,NoMatch,,,,,,,,
30,C.  poraria,C. poraria,2333,2344,5.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
31,C. reticulata,C. reticulata,2351,2364,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
32,C.  scurra,C. scurra,2374,2384,4.13,2,NO_ANNOT,,,NoMatch,,,,,,,,
33,F.  tabescens,F. tabescens,2389,2402,6.10,2,NO_ANNOT,,,NoMatch,,,,,,,,
34,Ovula lactea,Ovula lactea,2447,2459,9.73,2,NO_ANNOT,,,Exact,0,"Ovula lactea Lamarck, 1810",Ovula lactea,4B9YN,1,Catalogue of Life,
35,Pterocera scorpio,Pterocera scorpio,2468,2485,6.40,2,NO_ANNOT,,,Exact,0,Pterocera scorpio,Pterocera scorpio,347744,183,Sherborn Index Animalium,
36,Strombus macidatus,Strombus macidatus,2492,2510,12.03,2,NO_ANNOT,,,PartialExact,0,"Strombus Linnaeus, 1758",Strombus,7PHMS,1,Catalogue of Life,
37,F.  urceus,F. urceus,2518,2528,5.95,2,NO_ANNOT,,,NoMatch,,,,,,,,
38,Aqudlus chlorostoma,Aqudlus chlorostoma,2535,2554,6.03,2,NO_ANNOT,,,NoMatch,,,,,,,,
39,C.  pilearis,C. pilearis,2560,2572,6.74,2,NO_ANNOT,,,NoMatch,,,,,,,,
40,C.  rubeculus,C. rubeculus,2576,2589,6.80,2,NO_ANNOT,,,NoMatch,,,,,,,,
41,F.  tuberosus,F. tuberosus,2593,2606,6.77,2,NO_ANNOT,,,NoMatch,,,,,,,,
42,Ranella afjinis,Ranella afjinis,2613,2628,12.61,2,NO_ANNOT,,,Fuzzy,1,"Ranella affinis Broderip, 1833",Ranella affinis,7SZCZ,1,Catalogue of Life,
43,C.  bufonia,C. bufonia,2638,2649,5.42,2,NO_ANNOT,,,NoMatch,,,,,,,,
44,Cassis rufa,Cassis rufa,2657,2668,6.94,2,NO_ANNOT,,,Exact,0,"Cassis rufa (Linnaeus, 1758)",Cassis rufa,RNGM,1,Catalogue of Life,
45,Dolium perdix,Dolium perdix,2675,2688,8.64,2,NO_ANNOT,,,Exact,0,"Dolium (Dolium) perdix (Linnaeus, 1758)",Dolium perdix,3783Y,1,Catalogue of Life,
46,Cerithium nesioticum,Cerithium nesioticum,2698,2718,12.42,2,NO_ANNOT,,,Exact,0,"Cerithium nesioticum Pilsbry & Vanatta, 1906",Cerithium nesioticum,5XLGS,1,Catalogue of Life,
47,F.  patiens,F. patiens,2727,2738,5.74,2,NO_ANNOT,,,NoMatch,,,,,,,,
48,C.  rubus,C. rubus,2746,2755,4.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
49,Clara obeliscus,Clara obeliscus,2802,2817,4.65,2,NO_ANNOT,,,Fuzzy,1,"Clava obeliscus (Bruguière, 1792)",Clava obeliscus,7QQG5,1,Catalogue of Life,
50,Mitrularia equestris cicatricosa,Mitrularia equestris cicatricosa,2846,2878,18.09,3,NO_ANNOT,,,PartialExact,0,"Mitrularia cicatricosa (Reeve, 1858)",Mitrularia cicatricosa,6RKYQ,1,Catalogue of Life,
51,Natica marochiensis,Natica marochiensis,2887,2906,10.61,2,NO_ANNOT,,,Exact,0,"Natica marochiensis (Gmelin, 1791)",Natica marochiensis,45TQJ,1,Catalogue of Life,
52,Polymices melanostoma,Polymices melanostoma,2914,2935,10.13,2,NO_ANNOT,,,Fuzzy,1,Polynices melanostoma Gmelin,Polynices melanostoma,gn_118133,186,MCZbase,
53,Littorina obesa,Littorina obesa,2943,2958,8.08,2,NO_ANNOT,,,Exact,0,"Littorina obesa G. B. Sowerby I, 1832",Littorina obesa,7RY5T,1,Catalogue of Life,
54,Risella,Risella,2970,2977,5.79,1,NO_ANNOT,,,Exact,0,"Risella Carter, 1993",Risella,urn:lsid:irmng.org:taxname:1384615,181,IRMNG,
55,Modulus tectum,Modulus tectum,2997,3011,10.89,2,NO_ANNOT,,,Exact,0,"Modulus tectum (Gmelin, 1791)",Modulus tectum,43TXK,1,Catalogue of Life,
56,C. lanthina ianthina,C. lanthina ianthina,3016,3036,11.79,3,NO_ANNOT,,,NoMatch,,,,,,,,
57,Fasciolaria filamentosa,Fasciolaria filamentosa,3043,3066,13.03,2,NO_ANNOT,,,Exact,0,"Fasciolaria filamentosa (Röding, 1798)",Fasciolaria filamentosa,3DVS7,1,Catalogue of Life,
58,Latirtis aplustre,Latirtis aplustre,3075,3092,5.18,2,NO_ANNOT,,,NoMatch,,,,,,,,
59,Nerita undata,Nerita undata,3130,3143,11.44,2,NO_ANNOT,,,Exact,0,"Nerita undata Linnaeus, 1758",Nerita undata,475MW,1,Catalogue of Life,
60,C.  polita,C. polita,3147,3157,5.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
61,C.  plicata,C. plicata,3166,3177,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
62,Liotia voyi,Liotia voyi,3220,3231,8.48,2,NO_ANNOT,,,Exact,0,"Liotia voyi Pilsbry & Vanatta, 1905",Liotia voyi,6QH6D,1,Catalogue of Life,
63,Turbo argyrostomus,Turbo argyrostomus,3250,3268,9.66,2,NO_ANNOT,,,Exact,0,"Turbo argyrostomus Linnaeus, 1758",Turbo argyrostomus,59MYB,1,Catalogue of Life,
64,Astmlium petrosum,Astmlium petrosum,3278,3295,5.59,2,NO_ANNOT,,,NoMatch,,,,,,,,
65,Truncatella valida,Truncatella valida,3307,3325,12.87,2,NO_ANNOT,,,Exact,0,"Truncatella valida L. Pfeiffer, 1846",Truncatella valida,7D8SY,1,Catalogue of Life,
66,Melampus luteus,Melampus luteus,3334,3349,12.01,2,NO_ANNOT,,,Exact,0,"Melampus luteus (Quoy & Gaimard, 1832)",Melampus luteus,3Z593,1,Catalogue of Life,
67,Pinna semicostata,Pinna semicostata,3363,3380,10.08,2,NO_ANNOT,,,Exact,0,"Pinna semicostata Conrad, 1837",Pinna semicostata,77LL3,1,Catalogue of Life,
68,Tellina dispar,Tellina dispar,3389,3403,8.19,2,NO_ANNOT,,,Exact,0,"Tellina dispar Conrad, 1837",Tellina dispar,557GX,1,Catalogue of Life,
69,C.  scobinata,C. scobinata,3410,3423,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
70,Crista pectinata,Crista pectinata,3430,3446,9.64,2,NO_ANNOT,,,Exact,0,"Crista pectinata (Linnaeus, 1758)",Crista pectinata,7QVQL,1,Catalogue of Life,
71,Trapezium oblongum,Trapezium oblongum,3453,3471,9.33,2,NO_ANNOT,,,Exact,0,"Trapezium oblongum (Linnaeus, 1758)",Trapezium oblongum,57Y5N,1,Catalogue of Life,
72,Tridac7ia gigas,Tridac�ia gigas,3498,3513,1.82,2,NO_ANNOT,,,NoMatch,,,,,,,,
73,Liotia voyi,Liotia voyi,3660,3671,8.48,2,SP_NOV,,,Exact,0,"Liotia voyi Pilsbry & Vanatta, 1905",Liotia voyi,6QH6D,1,Catalogue of Life,
74,Liotia,Liotia,4816,4822,4.58,1,NO_ANNOT,,,Exact,0,"Liotia Gray, 1842",Liotia,7P7MK,1,Catalogue of Life,
75,L. crenata,L. crenata,4837,4847,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
76,L. voyi,L. voyi,4929,4936,3.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
77,L. voyi,L. voyi,5187,5194,3.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
78,L. crenata.,L. crenata,5218,5229,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
79,L. crenata,L. crenata,5230,5240,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
80,Delphintda crenata,Delphintda crenata,5434,5452,4.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
